Term;idf
boggy;1,945910
And;0,000000
mapped;1,945910
chinked;1,945910
rarity;1,945910
Ann;1,945910
subornation;1,945910
cemeteries;1,945910
chicken;1,945910
spliced;1,945910
soulless;1,945910
aldermen;1,945910
Any;0,000000
no—no;1,945910
blindfold;1,945910
times;0,000000
Herschel’s;1,945910
footed;0,693147
vacillating;1,945910
Admiral;1,945910
muscle;0,000000
jolted;1,098612
them—and;1,945910
contiguity;1,945910
immured;1,945910
“Guess;1,945910
bachelor;0,693147
Endell;1,945910
‘Sentence;1,945910
fatter;1,945910
harness;0,000000
voyage—and;1,945910
sketch;0,693147
Harry—;1,945910
witted;1,098612
disfigured;1,098612
Sons—how;1,945910
freshness;1,098612
infatuation;0,693147
Bloomsbury;1,945910
stubble;1,098612
beautiful;0,000000
rectify;1,945910
eventual;1,098612
Matter;1,945910
palsy;1,945910
defined;0,000000
voyages—The;1,945910
nestling;1,945910
dissecting;1,945910
swells;0,693147
tracery;1,945910
Releasing;1,945910
clouded;0,000000
Are;0,000000
creating;1,098612
Gross;1,945910
Ark;1,945910
Arm;1,945910
—here;1,945910
sweeping;0,693147
Art;1,945910
mobbing;1,945910
placidity;0,693147
anaconda;1,945910
rheumatic;1,945910
before—if;1,945910
starve;1,098612
sottish;1,945910
Dante;1,098612
Asa;1,945910
Swedes;1,945910
chemists;1,945910
reported;0,000000
Ask;1,945910
come—their;1,945910
worried;0,000000
kitchen;0,000000
prevented;0,000000
creation;0,693147
vexations;1,098612
antlers;1,945910
banding;1,945910
absolution;1,945910
reporter;1,945910
marketing;1,945910
FATHER;1,945910
torture;0,693147
mistress;0,000000
wolfish;1,945910
margins;1,945910
—For;1,945910
——;1,945910
slapped;0,693147
wickedest;1,945910
babes—pull;1,945910
marring;1,945910
vexatious;1,098612
—“;1,945910
him—nothing;1,945910
—”;1,945910
deadliness;1,945910
presaged;1,945910
amends;1,098612
glare;0,000000
terrestrial;1,945910
deception;0,000000
holidays;1,945910
fellows;0,000000
“Weep;1,945910
Bristol;1,945910
door—the;1,945910
Lucases;1,945910
starts;1,945910
tigerish;1,945910
actual;0,000000
glass;0,000000
impetuously;1,945910
dunce;1,945910
d’ye;1,945910
Involved;1,945910
remonstrating;1,945910
preventer;1,945910
Ave;1,945910
adorned;0,000000
Ivory;1,945910
assume;0,000000
fetid;1,945910
memory;0,000000
practising;1,945910
disaster;1,098612
dissection;1,945910
currants;1,945910
starry;1,098612
progeny;1,098612
IRENE;1,945910
attends;0,693147
mountains—they;1,945910
deservedly;1,945910
he—‘he;1,945910
fishermen’s;1,945910
earliest;0,000000
budged;1,945910
marvel;1,098612
illuminated;0,000000
Hecla;1,945910
relenting;1,945910
fencing;1,945910
‘“;1,945910
Throttling;1,945910
Invoice;1,945910
funnel;1,945910
ledgers;0,693147
regulate;1,098612
obstacles;0,693147
eddied;1,945910
Aye;1,098612
extant;1,945910
Bellies;1,945910
fuddled;1,945910
candies;1,945910
vermillion;1,945910
preliminaries;1,098612
coats;0,693147
‘Shy;1,945910
chiseled;1,945910
periodicalness;1,945910
Poetry;1,945910
specifically;1,945910
enter;0,000000
eddies;1,945910
“Were;1,945910
’”;1,945910
Stoke;1,098612
flowers;0,000000
flowery;1,098612
suckling;1,945910
visitants;1,945910
wretch;0,693147
dates;0,000000
Edgewise;1,945910
dexterously;1,098612
creative;1,098612
robing;1,945910
coast;0,000000
eyebrows;0,693147
Finding;1,098612
‘stupid;1,945910
sorrows;0,000000
‘Sit;1,945910
veins—royal;1,945910
remissness;1,945910
bright;0,000000
planned;0,000000
hazards;1,945910
Thereby;1,945910
“Pray;1,098612
assure;0,000000
pretext;1,945910
gracious;0,000000
Stoic;1,945910
toppling;1,945910
‘Halloa;1,945910
BROTHER;1,945910
reaping;1,098612
canonicals;1,945910
grenadier’s;1,945910
evince;1,945910
fetch;0,000000
“’;1,945910
“Lower;1,098612
Giver;1,945910
outlines;0,693147
oasis;1,945910
audibly;0,693147
compact;0,000000
possession;0,000000
Starbuck—but;1,945910
bushels;1,945910
DICK;1,945910
daresay;0,693147
runaway;1,945910
“Willingly;1,945910
Prince;1,098612
disconnected;1,098612
”—;1,945910
outlined;1,945910
bandied;1,945910
audible;0,000000
”’;1,945910
unvarying;1,098612
sympathetical;1,945910
avast;1,945910
all—there’s;1,945910
nimble;1,098612
dumfoundered;1,945910
“Well;1,098612
Tyre;1,945910
whiskers;0,000000
CAN;1,098612
nimbly;1,945910
cord—as;1,945910
undressing;1,098612
“enlarge”;1,945910
condemns;1,945910
critical;0,693147
deceptive;1,098612
reciprocally;1,945910
modulated;1,098612
Emir;1,945910
guarded;0,000000
seaman’s;1,945910
tramping;0,693147
CHORUS;1,945910
regulars;1,945910
dated;0,000000
possessing;0,000000
exotic;0,693147
sprains;1,945910
introduction;0,000000
Loitering;1,945910
‘She;1,945910
annals;1,945910
Niger’s;1,945910
cursing;1,098612
revenge;0,000000
noticing;0,000000
Bah;1,945910
Bag;1,945910
threads;1,945910
ratifying;1,945910
phrenology;1,945910
Stretched;1,945910
thing—though;1,945910
warehouse—our;1,945910
Bar;1,098612
overtook;1,098612
kingly;1,945910
Bay;1,945910
mainyard;1,945910
sartin;1,945910
demands;0,000000
cheerless;1,098612
Heart;1,945910
contracted;0,693147
blunderbusses;1,945910
underling;1,945910
Towards;0,000000
sires;1,945910
viewing;1,098612
“‘You;1,945910
Simon;1,945910
exuding;1,945910
jiffy;1,945910
prejudices;0,693147
servitude;1,945910
memoir;1,945910
paled;1,945910
carefully;0,000000
Boswell;1,945910
strew;1,945910
prejudiced;1,098612
1100;1,945910
attitude;0,000000
“Cussed;1,945910
average;1,098612
compare;0,693147
harpooneer;1,945910
virtues;0,000000
cordage;1,945910
choosing;0,693147
Tiger;1,945910
FOOT;1,945910
journal;1,098612
unlike;0,000000
shrinked;1,945910
Cupid;1,945910
Bed;1,945910
business;0,000000
withdrawing;0,693147
STORY;1,945910
aboriginally;1,945910
constrained;0,693147
inscribed;1,098612
taught;0,000000
localness;1,945910
finical;1,945910
borrow;0,000000
desert;0,000000
confectioner;1,945910
Heavy;1,098612
disorganised;1,945910
happiest;1,098612
King’s;1,098612
plurality;1,945910
Happily;1,945910
“Respectin;1,945910
stray;1,098612
journey;0,000000
suiting;1,945910
remained;0,000000
merchantman;1,945910
strap;1,945910
straw;0,000000
acceded;1,098612
acceptance;0,000000
Heave;1,945910
hootings;1,945910
narrowing;1,945910
impersonated;1,945910
distract;1,945910
sleights;1,945910
humours;1,945910
pumped;1,945910
mace;1,945910
Canaris;1,945910
back;0,000000
resisting;1,098612
heeded;1,098612
Lady;1,098612
states;0,000000
paler;0,693147
pales;1,945910
Eliza;1,945910
ferry;1,945910
looped;1,945910
company;0,000000
engagements;1,945910
erudite;1,945910
trafficker;1,945910
babe;1,098612
concerns;1,098612
nation’s;1,945910
that”—pointing;1,945910
crosslights;1,945910
baby;0,000000
Commodore’s;1,945910
fiendish;0,693147
showing;0,000000
dearer;1,098612
Relieve;1,945910
armies;1,945910
relic;1,945910
Methuselah;1,945910
attempt;0,000000
tiles;1,945910
conciliating;0,693147
diffusing;1,945910
quinsy;1,945910
ferreting;1,945910
kindness;0,000000
dearly;0,000000
minding;1,098612
frayed;0,693147
immaculate;0,693147
Isabella’s;1,945910
unwarrantable;1,945910
made;0,000000
out—all;1,945910
Streatham;1,945910
statue;1,098612
yielded;0,000000
Florida;1,945910
bade;0,693147
hoping;0,000000
merchantmen;1,945910
substratum;1,945910
siroc;1,945910
curse;0,000000
Gazetteer;1,945910
littleness;1,945910
divulged;1,098612
chipped;1,945910
unornamental;1,945910
counterbalance;1,098612
status;1,945910
nobility;1,945910
imperious;1,098612
trowsers;1,945910
ADLER;1,945910
bags;0,693147
curve;1,098612
glitteringly;1,945910
cultivating;1,945910
unwarrantably;1,945910
overhanging;0,000000
albatross;1,098612
Conversation;1,945910
abomination;0,693147
willfully;1,945910
ferns;1,945910
condemnation;0,693147
nurse;0,000000
brewery;1,098612
scimetars;1,945910
Lais;1,945910
disappointments;1,098612
pavement;0,000000
alcove;1,945910
characterized;1,945910
peaked;0,000000
irregularity;1,098612
POCKET;1,945910
Altogether;1,098612
cultivation;1,098612
Spain;1,945910
DARCY;1,945910
pampered;1,098612
Peter;1,098612
darts;1,945910
madhouse;1,945910
insincere;1,945910
mail;0,693147
bait;1,945910
main;0,000000
sadness;0,693147
nostrils;0,000000
Lake;1,098612
maim;1,945910
Leuwenhoeck;1,945910
Trade;1,945910
sufficiency;1,098612
revenue;1,945910
strip;0,000000
Magnus;1,945910
pretense;1,945910
credit;0,000000
maid;0,693147
Copper;1,945910
compositor;1,945910
Bon;1,945910
understandings;1,945910
Bow;1,945910
Elise;1,945910
Boy;1,945910
mildewed;1,945910
messengers;1,098612
varieties;0,000000
tabernacles;1,945910
compass;0,000000
Samples;1,945910
couldn’t;1,098612
appellations;1,945910
Wait;1,098612
Walk;1,945910
infidelities;1,945910
fidelity;0,000000
commended;0,693147
Lama;1,945910
ball;0,000000
“Villain;1,945910
bale;1,945910
bald;0,000000
discomposed;0,693147
threats;0,000000
palms;1,098612
suppressed;0,000000
Lamp;1,945910
Walw;1,945910
make;0,000000
fulfil;0,693147
spindle;1,945910
palmy;1,945910
unassailable;1,945910
tiled;1,098612
toilsome;1,945910
waving;0,000000
hummock;1,945910
eloquently;1,945910
goberned;1,945910
admittance;0,693147
puffs;1,945910
intensity;0,000000
bake;1,945910
waking;0,000000
conspired;1,945910
other—“Jack;1,945910
Track;1,945910
Wealth;1,945910
trending;1,945910
Belubed;1,945910
wilfully;1,098612
incorrigible;0,693147
trees;0,000000
hiding;0,693147
bank;0,000000
dejection;1,098612
Puritans;1,945910
them—leagues;1,945910
meaning;0,000000
bang;1,098612
Want;1,945910
band;0,000000
smites;1,945910
released;0,693147
stunsails;1,945910
10;0,000000
11;0,000000
12;0,693147
13;0,693147
disowned;1,945910
14;0,000000
15;0,000000
16;0,693147
17;0,000000
steward’s;1,945910
18;0,693147
19;0,693147
Lane;0,693147
Absence;1,098612
Circuit;1,945910
allied;0,693147
unruffled;1,945910
walruses;1,945910
celerity;1,098612
balm;1,945910
Land;1,098612
vastly;1,098612
highest;0,000000
Lank;1,945910
regained;0,000000
overpowered;0,000000
allies;1,945910
capsize;1,945910
male;0,000000
20;0,693147
21;0,000000
ogre;1,945910
22;0,693147
Abraham;1,945910
bodices;1,945910
23;0,693147
24;0,693147
25;0,693147
26;0,693147
27;0,693147
28;1,098612
latitude;1,098612
29;1,098612
wiping;0,693147
freighted;1,945910
Corinthians;1,945910
uproar;0,000000
remember;0,000000
Bud;1,945910
warbled;1,098612
Langsdorff;1,945910
Prussian;1,945910
gluepots;1,945910
30;0,693147
Trans;1,945910
31;0,693147
32;1,098612
But;0,000000
33;1,098612
Articles—leaving;1,945910
tusked;1,945910
34;1,098612
twinkle;0,693147
35;0,693147
Zealanders;1,945910
1s;1,945910
expression;0,000000
36;1,098612
star;0,000000
childhood;0,000000
37;1,098612
38;1,098612
39;1,098612
chargers;1,945910
grotesqueness;1,945910
stay;0,000000
releases;1,945910
stag;1,945910
3D;1,945910
2d;1,945910
stab;1,945910
Orkneys;1,945910
Wilhelm;1,945910
inspire;0,000000
sleep”;1,945910
mane;1,945910
progress;0,000000
Australia;0,000000
respected;0,000000
40;0,693147
41;1,098612
42;1,098612
seeks;1,098612
43;1,098612
seem’st;1,945910
44;1,098612
45;1,098612
delectable;1,945910
barb;1,945910
2s;1,945910
treat;0,000000
46;1,098612
abortion;1,098612
47;1,098612
48;1,098612
49;1,098612
stringing;1,945910
consternations;1,945910
predestinated;1,945910
inspectingly;1,945910
numbers;0,693147
navigator;1,945910
expressing;0,000000
Warm;1,098612
affectation;0,693147
devoting;1,098612
Last;0,000000
tread;0,000000
confederates;1,945910
imperil;1,945910
barn;1,098612
bark;0,000000
speck;0,693147
hutches;1,945910
50;0,693147
bare;0,000000
51;1,098612
52;1,098612
palpitating;1,945910
53;1,098612
54;1,098612
55;1,098612
56;1,098612
57;1,098612
Remorse;1,945910
58;1,098612
maps;1,098612
59;1,098612
slumberers;1,945910
seeds;1,098612
Iceland—no;1,945910
Promises;1,945910
apportioned;1,945910
Balmoral;1,945910
stumps;1,945910
gentlewoman;1,945910
seedy;1,945910
’way;1,945910
4d;1,945910
smithy;1,945910
Dunstan;1,945910
contemptibly;1,098612
60;0,000000
61;1,098612
62;1,945910
“Raise;1,945910
“Quite;1,945910
63;1,945910
smiths;1,945910
64;1,945910
65;1,945910
66;1,945910
67;1,945910
68;1,945910
69;1,945910
needed;0,000000
mast;1,098612
page—as;1,945910
invoking;1,945910
mass;0,000000
contemptible;1,098612
speed;0,000000
Whether;0,000000
auction;1,945910
bats;1,098612
admit;0,000000
China;0,693147
uneven;0,693147
70;1,945910
“‘Yes;1,945910
71;1,945910
72;1,945910
73;1,945910
bath;0,000000
74;1,945910
75;1,945910
mask;0,000000
76;1,945910
77;1,098612
Chili;1,945910
78;1,945910
79;1,945910
Late;1,945910
stew;1,945910
palpitation;1,945910
ostentatiously;1,098612
bars;0,693147
foreseen;0,000000
6d;1,945910
bass;1,098612
eagerly;0,000000
mare;1,945910
80;1,945910
81;1,945910
bask;1,945910
step;0,000000
82;1,098612
83;1,098612
Aristocrat;1,945910
84;1,098612
Baling;1,945910
marm;1,945910
85;1,098612
marl;1,945910
mark;0,000000
86;1,945910
stem;0,693147
base;0,000000
87;1,098612
Handling;1,945910
foreshadowing;1,945910
88;1,098612
89;1,098612
Prairie;1,945910
Primer;1,945910
him—neither;1,945910
agonized;1,945910
reabsorbed;1,945910
stig;1,945910
impediments;0,693147
Laws;1,945910
90;1,098612
91;1,945910
maul;1,945910
92;1,945910
93;1,945910
94;1,945910
brickmaker;1,945910
95;1,945910
7s;1,945910
Child;1,945910
96;1,945910
mishap;1,945910
97;1,945910
98;1,945910
mats;1,945910
99;1,945910
Parsonage;1,945910
maty;1,945910
8d;1,945910
Wrapping;1,945910
sterner;1,098612
Wave;1,945910
tragedies;1,945910
mate;1,098612
missionary;1,945910
8s;1,945910
glitters;1,945910
stated;0,000000
guiltlessness;1,945910
Chesterfield;1,945910
honorableness;1,945910
forehead;0,000000
muskiness;1,945910
seers;1,945910
antagonistic;1,945910
unwise;1,945910
unfashioned;1,945910
Hayling;1,945910
noontide;1,945910
unacknowledged;1,945910
waterward;1,945910
Scandinavian;1,945910
he’ll;1,098612
delight—so;1,945910
pretends;1,945910
solitude;0,000000
disagreement;1,945910
Sings;1,945910
sperm;1,945910
Doctor;0,693147
opinion;0,000000
weakling;1,945910
soldier;0,000000
devotion;0,693147
bawl;1,945910
stir;0,000000
escort;0,693147
hospitals;1,945910
overborne;1,945910
den—the;1,945910
existence;0,000000
nights—do;1,945910
pretence;0,000000
maze;1,945910
whooping;1,945910
disputatious;1,945910
expressive;0,000000
pyres;1,945910
Uncommonly;1,945910
mayn;1,945910
saw—lightning;1,945910
exaggerate;1,098612
spell;0,000000
Traitors’;1,945910
Cal;1,945910
visitors;0,000000
Can;0,000000
concerts;1,945910
topers;1,945910
concerto;1,945910
Cat;1,945910
Caw;1,945910
spelt;1,945910
weaves;1,945910
weaver;1,098612
commence;0,000000
“Would;1,945910
Chief;1,098612
Elias;1,945910
sternly;0,000000
platform;0,693147
spend;0,000000
Since;0,000000
intertwisting;1,945910
entrapped;1,945910
‘SHE;1,945910
mazy;1,945910
martyr;1,945910
stowage;1,945910
undaunted;1,945910
spent;0,000000
Monsoons;1,945910
know’d;1,945910
DEL;1,945910
winced;1,945910
Groan;1,945910
cloaked;1,945910
respectin;1,945910
abortive;1,945910
watering;1,945910
Future;1,098612
imparted;0,000000
winces;1,945910
temporary;0,000000
calm—give;1,945910
saltcellar;1,945910
hollowness;1,945910
Romans;1,098612
anguish;0,000000
dammed;1,945910
emergencies;1,098612
awaiting;0,000000
surveying;0,693147
understanding;0,000000
this—its;1,945910
Icebergs;1,945910
toughness;1,945910
fairy;0,693147
shortest;1,098612
hermit;1,945910
Denderah;1,945910
ragged;0,000000
sanctuary;0,693147
Quakeress’s;1,945910
‘There’s;1,945910
slumbering;1,098612
humbler;1,945910
strolled;0,000000
AM;1,945910
version;1,098612
cocoa;1,945910
planning;0,000000
staunch;1,098612
AT;1,945910
stop;0,000000
humbled;1,945910
basest;1,945910
flirt;1,945910
round—you;1,945910
prudence;0,693147
insoluble;1,945910
BE;1,945910
unreliable—they;1,945910
Ah;0,000000
peaches;1,098612
confiding;0,693147
evaporates;1,945910
immediately;0,000000
Am;0,000000
An;0,000000
backwoodsman;1,945910
As;0,000000
At;0,000000
BY;1,945910
Ay;0,000000
stump;0,693147
cultivated;0,693147
Be;0,000000
DIG;1,945910
stung;1,098612
loops;1,945910
wraith;1,945910
missions;1,945910
By;0,000000
severe;0,000000
Meanwhile;1,098612
sayest;1,945910
tearing;0,000000
Romulus;1,945910
belayed;1,945910
“Witnesses;1,945910
severs;1,945910
said—“you;1,945910
Rogers’s;1,945910
‘DRINK;1,945910
Co;1,098612
fling;1,945910
stun;1,945910
confirmable;1,945910
doffed;1,945910
kindle;1,098612
mayhap;1,945910
Friesland;1,945910
vibrations;1,945910
faint;0,000000
De;0,693147
hemp—yet;1,945910
time—but;1,945910
Do;0,000000
Market;1,945910
Dr;1,098612
kindly;0,000000
membranes;1,945910
Du;1,945910
“Quick;1,098612
Abel;1,945910
loose;0,000000
cocks;1,945910
flint;1,098612
loathsome;0,000000
Rinaldini;1,945910
crawling;0,000000
lasting;0,000000
boarders;1,945910
Eg;1,945910
Eh;0,000000
D’Wolf;1,945910
Aldersgate;1,945910
10th;1,945910
“MONSIEUR;1,945910
Rucastle;1,945910
narcotic;1,098612
Ex;1,945910
Fa;1,945910
sterned;1,945910
pageant;1,945910
slippers;0,693147
females;0,693147
preciousness;1,945910
Persia;1,945910
skittishly;1,945910
flinched;1,945910
lecturing;1,945910
slippery;0,693147
Honorary;1,945910
vouch;1,945910
vintages;1,945910
Ryder;1,945910
Stubb’s;1,945910
kicks;1,098612
betray;0,000000
murderer’s;1,945910
“Infected;1,945910
HE;1,945910
occupation;0,000000
slacken;1,098612
heigh;1,945910
direction—the;1,945910
adown;1,945910
Go;0,000000
ringleader;1,945910
occurs;1,098612
skinned;1,098612
Cly;1,945910
slacked;1,945910
sanely;1,945910
deepest;0,000000
Ha;0,000000
outbreak;1,098612
He;0,000000
IF;1,945910
II;0,000000
Hi;1,945910
Fleet;0,000000
oxygenated;1,945910
IN;0,693147
Hm;1,945910
thunderingly;1,945910
seventy;0,693147
Dreaming;1,945910
Ho;1,945910
longings;1,945910
IS;1,098612
allegiance;1,945910
IT;1,098612
IV;0,000000
IX;0,693147
clocks;1,945910
Afterwards;1,098612
leopard;1,945910
seventh;1,945910
fatiguing;1,945910
supercilious;1,945910
If;0,000000
In;0,000000
Io;1,945910
skilfully;1,945910
characterise;0,693147
Flounders;1,945910
Is;0,000000
debility;1,945910
whaleman;1,945910
It;0,000000
filings;1,945910
tormenting;0,693147
amiss;0,693147
HWAL;1,945910
Smiles;1,945910
Cod;1,945910
confoundedly;1,098612
elucidate;1,945910
elope;1,945910
browed;1,945910
Cow;1,945910
rankling;1,945910
savage—a;1,945910
unrelaxed;1,945910
petticoat;0,693147
vibrating;1,098612
masts—cut;1,945910
“Abhorred;1,945910
ambergris;1,945910
strongest;0,000000
‘Back;1,945910
dismasting;1,945910
frocks;1,945910
flies;0,000000
Armada;1,098612
spice;1,945910
metals;1,098612
screen;0,000000
Rather;0,000000
Ku;1,945910
vibration;1,098612
trial;0,000000
Righteousness;1,945910
“‘Very;1,945910
La;0,000000
bridle;1,098612
ME;1,945910
celebrity—Nay;1,945910
savage’s;1,945910
Witt’s;1,945910
entrance;0,000000
moist;1,098612
masquerades;1,945910
motley;1,098612
wielded;1,945910
humored;1,945910
Franco;1,945910
Lo;1,098612
upcast;1,945910
MR;1,945910
remedies;1,098612
woods;0,000000
surviving;0,693147
articulate;1,098612
spicy;1,945910
churned;1,945910
MY;1,098612
woody;1,098612
driving;0,000000
traverse;1,098612
Ma;1,098612
tribe;0,693147
races;1,945910
remedied;1,945910
Me;0,693147
graciously;1,098612
infatuated;1,945910
NO;1,945910
spied;1,945910
angles;1,098612
Mr;0,000000
elderly;0,000000
Mt;1,945910
raced;1,945910
gushed;1,945910
trick;0,693147
My;0,000000
Committee;1,945910
Tahitians;1,945910
religionists;1,945910
Forty—forty—forty;1,945910
grunt;0,000000
propensities;1,098612
spies;0,693147
iron—that;1,945910
enjoining;1,945910
OF;0,000000
chose;0,000000
gushes;1,945910
boils;1,945910
France;0,000000
wampum;1,945910
No;0,000000
—shudder;1,945910
plots;1,945910
indignity;0,693147
Of;0,000000
chord;1,098612
bulging;1,945910
Oh;0,000000
Perhaps;0,000000
appetite;0,000000
queens;1,945910
needle;0,000000
On;0,000000
axiom;1,945910
Or;0,000000
victories;1,945910
hawser;1,945910
vineyards;0,693147
Pa;1,945910
pounds;0,000000
represented;0,000000
reproachfully;0,693147
rabid;1,945910
mummeries;1,945910
vacantly;0,693147
rigadig;1,945910
encompass;1,098612
heartiness;1,945910
“Ain’t;1,945910
Cut;1,945910
dreaminess;1,945910
remain;0,000000
sustenance;0,693147
degraded;0,693147
rents;1,945910
colt’s;1,945910
favouring;1,945910
baulks;1,945910
lashings;1,945910
rustlings;1,945910
unhorse;1,945910
brackish;1,945910
aromas;1,945910
gift—a;1,945910
occult;1,945910
suds;1,945910
scuttling;1,945910
hues;1,945910
pounce;1,945910
“About;1,098612
nobly;1,098612
tints;1,945910
Historically;1,945910
showest;1,945910
Royalty;1,945910
envoy;1,945910
tropic;1,945910
—chiefly;1,945910
whereunto;1,945910
Battering;1,945910
Dormouse’s;1,945910
backbone;1,098612
insane;1,098612
magician;1,098612
hideously;1,098612
trophy;1,098612
Courier;1,945910
hued;1,945910
repentant;1,098612
ST;1,098612
triumph;0,000000
horror;0,000000
mouth—the;1,945910
fluctuating;1,098612
newcomers;1,098612
fortunate;0,000000
Tragedy;1,945910
Figure;1,945910
Himmalehs;1,945910
showers;0,693147
Carroll;1,945910
classic;1,945910
embellish;1,945910
eightpence;1,945910
splashing;0,000000
oppressions;1,945910
TO;0,000000
So;0,000000
suck;1,098612
raiment;1,945910
St;0,000000
defiles;1,945910
featured;1,945910
Sw;1,945910
foal;1,945910
foam;0,693147
widening;1,098612
arriving;0,000000
Carthage;1,945910
features;0,000000
openly;0,000000
resignedly;1,945910
Battery;1,945910
People’s;1,945910
huge;0,000000
To;0,000000
pendulum;1,098612
Figuera;1,945910
exclaimed;0,000000
“Among;1,945910
suet;1,945910
primitively;1,945910
duplicate;1,098612
stubbornest;1,945910
affable;1,945910
SWIM;1,945910
VI;0,000000
amphitheatre;1,945910
sailor’s;1,945910
museum;1,098612
Workers;1,945910
embarrassing;1,945910
dandies;1,945910
sued;1,945910
Um;1,945910
Un;1,945910
Whaling;1,945910
Up;0,000000
twilights;1,945910
huff;1,945910
javelins;1,945910
unwinking;1,945910
occupy;0,000000
wringing;1,945910
TALBOT;1,945910
classes;0,693147
Sharks;1,945910
Irene;1,945910
originator;1,945910
churning;1,945910
affably;1,945910
supporting;1,098612
innately;1,945910
Fasting;1,945910
Gryphon;1,945910
uncomplaining;1,945910
barometer;1,945910
Wa;1,945910
We;0,000000
contamination;1,945910
massively;1,945910
XI;0,693147
signers;1,945910
brightness;0,000000
divineness;1,945910
hole—is;1,945910
classed;1,945910
crew—in;1,945910
Within;0,000000
Powers;1,945910
window;0,000000
XV;1,945910
XX;1,945910
’parm;1,945910
fashionables;1,945910
swooned;1,945910
prized;0,693147
‘’Tis;1,945910
foes;1,098612
instruments;1,098612
confirming;1,945910
stuck;0,000000
doddering;1,945910
‘Pepper;1,945910
panegyric;1,098612
Philistines;1,945910
rained;1,945910
embattled;1,945910
fringing;1,945910
comprising;1,945910
comfortably;0,000000
Gulf;1,945910
horrid;0,000000
Ye;0,693147
Suspicion;1,945910
comfortable;0,000000
Pip—poor;1,945910
prizes;0,693147
fagots;1,945910
suit;0,000000
completely;0,000000
